id,total_len,nb_groups,len_groups,max_len_group
2791_BaskervilleDisplayPT-BoldItalic_fs_50_A_Layer 2,17,2,"[13, 4]",13
2791_FranklinGothicURW-Boo_fs_50_A_Layer 2,13,2,"[8, 5]",8
2792_BaskervilleDisplayPT-BoldItalic_fs_50_B_Layer 2,21,3,"[12, 4, 5]",12
2793_BaskervilleDisplayPT-BoldItalic_fs_50_C_Layer 2,15,1,[15],15
2793_FranklinGothicURW-Boo_fs_50_C_Layer 2,13,1,[13],13
2794_BaskervilleDisplayPT-BoldItalic_fs_50_D_Layer 2,15,2,"[8, 7]",8
2794_FranklinGothicURW-Boo_fs_50_D_Layer 2,12,2,"[7, 5]",7
2792_FranklinGothicURW-Boo_fs_50_B_Layer 2,21,3,"[9, 6, 6]",9
2795_BaskervilleDisplayPT-BoldItalic_fs_50_E_Layer 2,16,1,[16],16
2795_FranklinGothicURW-Boo_fs_50_E_Layer 2,13,1,[13],13
2796_BaskervilleDisplayPT-BoldItalic_fs_50_F_Layer 2,15,1,[15],15
2797_BaskervilleDisplayPT-BoldItalic_fs_50_G_Layer 2,15,1,[15],15
2796_FranklinGothicURW-Boo_fs_50_F_Layer 2,13,1,[13],13
2797_FranklinGothicURW-Boo_fs_50_G_Layer 2,19,1,[19],19
2798_FranklinGothicURW-Boo_fs_50_H_Layer 2,13,1,[13],13
2798_BaskervilleDisplayPT-BoldItalic_fs_50_H_Layer 2,18,1,[18],18
2799_BaskervilleDisplayPT-BoldItalic_fs_50_I_Layer 2,9,1,[9],9
2799_FranklinGothicURW-Boo_fs_50_I_Layer 2,5,1,[5],5
279_ACaslonPro-Semibold_fs_50_e_Layer 2,12,2,"[8, 4]",8
279_AntiqueOli-RegIta_fs_50_e_Layer 2,16,2,"[12, 4]",12
27_ACaslonPro-Bold_fs_50_a_Layer 2,17,2,"[14, 3]",14
27_AntiqueOli-Bol_fs_50_a_Layer 2,23,2,"[17, 6]",17
2800_FranklinGothicURW-Boo_fs_50_J_Layer 2,8,1,[8],8
2800_BaskervilleDisplayPT-BoldItalic_fs_50_J_Layer 2,15,1,[15],15
2801_BaskervilleDisplayPT-BoldItalic_fs_50_K_Layer 2,21,2,"[15, 6]",15
2801_FranklinGothicURW-Boo_fs_50_K_Layer 2,13,1,[13],13
2802_BaskervilleDisplayPT-BoldItalic_fs_50_L_Layer 2,11,1,[11],11
2802_FranklinGothicURW-Boo_fs_50_L_Layer 2,7,1,[7],7
2803_BaskervilleDisplayPT-BoldItalic_fs_50_M_Layer 2,27,2,"[16, 11]",16
2804_BaskervilleDisplayPT-BoldItalic_fs_50_N_Layer 2,16,1,[16],16
2803_FranklinGothicURW-Boo_fs_50_M_Layer 2,19,1,[19],19
2805_BaskervilleDisplayPT-BoldItalic_fs_50_O_Layer 2,13,2,"[5, 8]",8
2804_FranklinGothicURW-Boo_fs_50_N_Layer 2,15,1,[15],15
2805_FranklinGothicURW-Boo_fs_50_O_Layer 2,15,2,"[7, 8]",8
2806_BaskervilleDisplayPT-BoldItalic_fs_50_P_Layer 2,15,2,"[10, 5]",10
2806_FranklinGothicURW-Boo_fs_50_P_Layer 2,15,2,"[9, 6]",9
2807_BaskervilleDisplayPT-BoldItalic_fs_50_Q_Layer 2,27,3,"[8, 8, 11]",11
2808_BaskervilleDisplayPT-BoldItalic_fs_50_R_Layer 2,21,2,"[16, 5]",16
2807_FranklinGothicURW-Boo_fs_50_Q_Layer 2,14,2,"[7, 7]",7
2809_BaskervilleDisplayPT-BoldItalic_fs_50_S_Layer 2,19,1,[19],19
2808_FranklinGothicURW-Boo_fs_50_R_Layer 2,18,2,"[12, 6]",12
2809_FranklinGothicURW-Boo_fs_50_S_Layer 2,17,1,[17],17
280_ACaslonPro-Semibold_fs_50_f_Layer 2,19,1,[19],19
280_AntiqueOli-RegIta_fs_50_f_Layer 2,15,1,[15],15
2810_FranklinGothicURW-Boo_fs_50_T_Layer 2,9,1,[9],9
2810_BaskervilleDisplayPT-BoldItalic_fs_50_T_Layer 2,11,1,[11],11
2811_BaskervilleDisplayPT-BoldItalic_fs_50_U_Layer 2,16,1,[16],16
2811_FranklinGothicURW-Boo_fs_50_U_Layer 2,12,1,[12],12
2812_FranklinGothicURW-Boo_fs_50_V_Layer 2,10,1,[10],10
2812_BaskervilleDisplayPT-BoldItalic_fs_50_V_Layer 2,15,1,[15],15
2813_BaskervilleDisplayPT-BoldItalic_fs_50_W_Layer 2,27,2,"[18, 9]",18
2813_FranklinGothicURW-Boo_fs_50_W_Layer 2,16,1,[16],16
2814_FranklinGothicURW-Boo_fs_50_X_Layer 2,12,1,[12],12
2814_BaskervilleDisplayPT-BoldItalic_fs_50_X_Layer 2,26,3,"[6, 14, 6]",14
2815_BaskervilleDisplayPT-BoldItalic_fs_50_Y_Layer 2,14,2,"[6, 8]",8
2815_FranklinGothicURW-Boo_fs_50_Y_Layer 2,11,1,[11],11
2816_BaskervilleDisplayPT-BoldItalic_fs_50_Z_Layer 2,10,1,[10],10
2818_BaskervilleDisplayPT-BoldItalic_fs_50_b_Layer 2,13,1,[13],13
2816_FranklinGothicURW-Boo_fs_50_Z_Layer 2,13,1,[13],13
2817_BaskervilleDisplayPT-BoldItalic_fs_50_a_Layer 2,13,1,[13],13
2817_FranklinGothicURW-Boo_fs_50_a_Layer 2,18,2,"[13, 5]",13
2819_BaskervilleDisplayPT-BoldItalic_fs_50_c_Layer 2,10,1,[10],10
2819_FranklinGothicURW-Boo_fs_50_c_Layer 2,14,1,[14],14
2818_FranklinGothicURW-Boo_fs_50_b_Layer 2,17,2,"[9, 8]",9
281_ACaslonPro-Semibold_fs_50_g_Layer 2,32,3,"[17, 8, 7]",17
2820_BaskervilleDisplayPT-BoldItalic_fs_50_d_Layer 2,18,2,"[11, 7]",11
281_AntiqueOli-RegIta_fs_50_g_Layer 2,18,2,"[11, 7]",11
2820_FranklinGothicURW-Boo_fs_50_d_Layer 2,17,2,"[8, 9]",9
2822_BaskervilleDisplayPT-BoldItalic_fs_50_f_Layer 2,18,1,[18],18
2821_FranklinGothicURW-Boo_fs_50_e_Layer 2,15,2,"[11, 4]",11
2821_BaskervilleDisplayPT-BoldItalic_fs_50_e_Layer 2,13,2,"[10, 3]",10
2822_FranklinGothicURW-Boo_fs_50_f_Layer 2,13,1,[13],13
2823_BaskervilleDisplayPT-BoldItalic_fs_50_g_Layer 2,24,2,"[21, 3]",21
2824_BaskervilleDisplayPT-BoldItalic_fs_50_h_Layer 2,18,1,[18],18
2824_FranklinGothicURW-Boo_fs_50_h_Layer 2,14,1,[14],14
2823_FranklinGothicURW-Boo_fs_50_g_Layer 2,30,3,"[17, 5, 8]",17
2825_BaskervilleDisplayPT-BoldItalic_fs_50_i_Layer 2,15,2,"[5, 10]",10
2825_FranklinGothicURW-Boo_fs_50_i_Layer 2,8,2,"[3, 5]",5
2826_BaskervilleDisplayPT-BoldItalic_fs_50_j_Layer 2,17,2,"[5, 12]",12
2826_FranklinGothicURW-Boo_fs_50_j_Layer 2,13,2,"[3, 10]",10
2827_BaskervilleDisplayPT-BoldItalic_fs_50_k_Layer 2,19,2,"[16, 3]",16
2827_FranklinGothicURW-Boo_fs_50_k_Layer 2,12,1,[12],12
2828_BaskervilleDisplayPT-BoldItalic_fs_50_l_Layer 2,9,1,[9],9
2828_FranklinGothicURW-Boo_fs_50_l_Layer 2,5,1,[5],5
2829_FranklinGothicURW-Boo_fs_50_m_Layer 2,25,1,[25],25
2829_BaskervilleDisplayPT-BoldItalic_fs_50_m_Layer 2,25,3,"[8, 11, 6]",11
282_ACaslonPro-Semibold_fs_50_h_Layer 2,19,1,[19],19
282_AntiqueOli-RegIta_fs_50_h_Layer 2,16,1,[16],16
2830_BaskervilleDisplayPT-BoldItalic_fs_50_n_Layer 2,21,2,"[13, 8]",13
2830_FranklinGothicURW-Boo_fs_50_n_Layer 2,15,1,[15],15
2831_BaskervilleDisplayPT-BoldItalic_fs_50_o_Layer 2,9,2,"[5, 4]",5
2831_FranklinGothicURW-Boo_fs_50_o_Layer 2,15,2,"[7, 8]",8
2832_BaskervilleDisplayPT-BoldItalic_fs_50_p_Layer 2,18,1,[18],18
2832_FranklinGothicURW-Boo_fs_50_p_Layer 2,18,2,"[10, 8]",10
2833_BaskervilleDisplayPT-BoldItalic_fs_50_q_Layer 2,13,2,"[9, 4]",9
2833_FranklinGothicURW-Boo_fs_50_q_Layer 2,16,2,"[9, 7]",9
2834_FranklinGothicURW-Boo_fs_50_r_Layer 2,10,1,[10],10
2834_BaskervilleDisplayPT-BoldItalic_fs_50_r_Layer 2,15,2,"[5, 10]",10
2835_FranklinGothicURW-Boo_fs_50_s_Layer 2,17,1,[17],17
2835_BaskervilleDisplayPT-BoldItalic_fs_50_s_Layer 2,18,1,[18],18
2836_BaskervilleDisplayPT-BoldItalic_fs_50_t_Layer 2,13,1,[13],13
2836_FranklinGothicURW-Boo_fs_50_t_Layer 2,14,1,[14],14
2838_BaskervilleDisplayPT-BoldItalic_fs_50_v_Layer 2,18,1,[18],18
2838_FranklinGothicURW-Boo_fs_50_v_Layer 2,11,1,[11],11
2837_FranklinGothicURW-Boo_fs_50_u_Layer 2,15,1,[15],15
2837_BaskervilleDisplayPT-BoldItalic_fs_50_u_Layer 2,23,2,"[8, 15]",15
2839_BaskervilleDisplayPT-BoldItalic_fs_50_w_Layer 2,29,2,"[21, 8]",21
2839_FranklinGothicURW-Boo_fs_50_w_Layer 2,15,1,[15],15
283_ACaslonPro-Semibold_fs_50_i_Layer 2,12,2,"[5, 7]",7
283_AntiqueOli-RegIta_fs_50_i_Layer 2,11,2,"[6, 5]",6
2840_BaskervilleDisplayPT-BoldItalic_fs_50_x_Layer 2,26,3,"[8, 12, 6]",12
2840_FranklinGothicURW-Boo_fs_50_x_Layer 2,10,1,[10],10
2841_BaskervilleDisplayPT-BoldItalic_fs_50_y_Layer 2,18,3,"[5, 10, 3]",10
2841_FranklinGothicURW-Boo_fs_50_y_Layer 2,11,1,[11],11
2842_FranklinGothicURW-Boo_fs_50_z_Layer 2,9,1,[9],9
2842_BaskervilleDisplayPT-BoldItalic_fs_50_z_Layer 2,15,2,"[7, 8]",8
2843_BaskervilleDisplayPT-BoldItalic_fs_50_0_Layer 2,18,2,"[8, 10]",10
2843_FranklinGothicURW-Boo_fs_50_0_Layer 2,12,2,"[6, 6]",6
2844_BaskervilleDisplayPT-BoldItalic_fs_50_1_Layer 2,9,1,[9],9
2845_BaskervilleDisplayPT-BoldItalic_fs_50_2_Layer 2,18,1,[18],18
2845_FranklinGothicURW-Boo_fs_50_2_Layer 2,16,1,[16],16
2846_BaskervilleDisplayPT-BoldItalic_fs_50_3_Layer 2,19,1,[19],19
2844_FranklinGothicURW-Boo_fs_50_1_Layer 2,12,1,[12],12
2846_FranklinGothicURW-Boo_fs_50_3_Layer 2,19,1,[19],19
2847_BaskervilleDisplayPT-BoldItalic_fs_50_4_Layer 2,17,1,[17],17
2847_FranklinGothicURW-Boo_fs_50_4_Layer 2,15,2,"[11, 4]",11
2848_BaskervilleDisplayPT-BoldItalic_fs_50_5_Layer 2,12,1,[12],12
2849_BaskervilleDisplayPT-BoldItalic_fs_50_6_Layer 2,17,1,[17],17
2848_FranklinGothicURW-Boo_fs_50_5_Layer 2,16,1,[16],16
284_ACaslonPro-Semibold_fs_50_j_Layer 2,18,2,"[5, 13]",13
2849_FranklinGothicURW-Boo_fs_50_6_Layer 2,18,2,"[13, 5]",13
284_AntiqueOli-RegIta_fs_50_j_Layer 2,13,2,"[6, 7]",7
2850_BaskervilleDisplayPT-BoldItalic_fs_50_7_Layer 2,8,1,[8],8
2850_FranklinGothicURW-Boo_fs_50_7_Layer 2,8,1,[8],8
2851_FranklinGothicURW-Boo_fs_50_8_Layer 2,25,3,"[12, 5, 8]",12
2851_BaskervilleDisplayPT-BoldItalic_fs_50_8_Layer 2,23,3,"[11, 6, 6]",11
2852_BaskervilleDisplayPT-BoldItalic_fs_50_9_Layer 2,13,1,[13],13
2852_FranklinGothicURW-Boo_fs_50_9_Layer 2,16,2,"[11, 5]",11
2853_FranklinGothicURW-BooIta_fs_50_A_Layer 2,13,2,"[8, 5]",8
2853_BaskervilleDisplayPT-Italic_fs_50_A_Layer 2,16,2,"[12, 4]",12
2854_BaskervilleDisplayPT-Italic_fs_50_B_Layer 2,22,3,"[11, 5, 6]",11
2855_FranklinGothicURW-BooIta_fs_50_C_Layer 2,14,1,[14],14
2854_FranklinGothicURW-BooIta_fs_50_B_Layer 2,20,3,"[8, 6, 6]",8
2855_BaskervilleDisplayPT-Italic_fs_50_C_Layer 2,17,2,"[12, 5]",12
2856_BaskervilleDisplayPT-Italic_fs_50_D_Layer 2,15,2,"[7, 8]",8
2856_FranklinGothicURW-BooIta_fs_50_D_Layer 2,15,2,"[8, 7]",8
2857_BaskervilleDisplayPT-Italic_fs_50_E_Layer 2,14,1,[14],14
2857_FranklinGothicURW-BooIta_fs_50_E_Layer 2,13,1,[13],13
2858_FranklinGothicURW-BooIta_fs_50_F_Layer 2,11,1,[11],11
2859_BaskervilleDisplayPT-Italic_fs_50_G_Layer 2,12,1,[12],12
2858_BaskervilleDisplayPT-Italic_fs_50_F_Layer 2,12,1,[12],12
2859_FranklinGothicURW-BooIta_fs_50_G_Layer 2,17,1,[17],17
285_ACaslonPro-Semibold_fs_50_k_Layer 2,14,1,[14],14
2860_FranklinGothicURW-BooIta_fs_50_H_Layer 2,13,1,[13],13
2860_BaskervilleDisplayPT-Italic_fs_50_H_Layer 2,16,1,[16],16
285_AntiqueOli-RegIta_fs_50_k_Layer 2,12,2,"[5, 7]",7
2861_BaskervilleDisplayPT-Italic_fs_50_I_Layer 2,6,1,[6],6
2862_BaskervilleDisplayPT-Italic_fs_50_J_Layer 2,13,1,[13],13
2862_FranklinGothicURW-BooIta_fs_50_J_Layer 2,8,1,[8],8
2861_FranklinGothicURW-BooIta_fs_50_I_Layer 2,5,1,[5],5
2863_BaskervilleDisplayPT-Italic_fs_50_K_Layer 2,12,1,[12],12
2863_FranklinGothicURW-BooIta_fs_50_K_Layer 2,12,1,[12],12
2864_FranklinGothicURW-BooIta_fs_50_L_Layer 2,8,1,[8],8
2864_BaskervilleDisplayPT-Italic_fs_50_L_Layer 2,11,1,[11],11
2865_FranklinGothicURW-BooIta_fs_50_M_Layer 2,17,1,[17],17
2866_FranklinGothicURW-BooIta_fs_50_N_Layer 2,13,1,[13],13
2865_BaskervilleDisplayPT-Italic_fs_50_M_Layer 2,18,3,"[8, 6, 4]",8
2867_BaskervilleDisplayPT-Italic_fs_50_O_Layer 2,13,2,"[6, 7]",7
2866_BaskervilleDisplayPT-Italic_fs_50_N_Layer 2,13,2,"[9, 4]",9
2867_FranklinGothicURW-BooIta_fs_50_O_Layer 2,14,2,"[7, 7]",7
2869_BaskervilleDisplayPT-Italic_fs_50_Q_Layer 2,24,2,"[16, 8]",16
2868_BaskervilleDisplayPT-Italic_fs_50_P_Layer 2,16,2,"[10, 6]",10
2868_FranklinGothicURW-BooIta_fs_50_P_Layer 2,15,2,"[9, 6]",9
2869_FranklinGothicURW-BooIta_fs_50_Q_Layer 2,18,2,"[9, 9]",9
286_ACaslonPro-Semibold_fs_50_l_Layer 2,11,1,[11],11
286_AntiqueOli-RegIta_fs_50_l_Layer 2,5,1,[5],5
2870_BaskervilleDisplayPT-Italic_fs_50_R_Layer 2,19,1,[19],19
2870_FranklinGothicURW-BooIta_fs_50_R_Layer 2,18,2,"[12, 6]",12
2871_BaskervilleDisplayPT-Italic_fs_50_S_Layer 2,26,3,"[16, 5, 5]",16
2872_BaskervilleDisplayPT-Italic_fs_50_T_Layer 2,9,1,[9],9
2871_FranklinGothicURW-BooIta_fs_50_S_Layer 2,18,1,[18],18
2872_FranklinGothicURW-BooIta_fs_50_T_Layer 2,8,1,[8],8
2873_BaskervilleDisplayPT-Italic_fs_50_U_Layer 2,15,2,"[11, 4]",11
2874_FranklinGothicURW-BooIta_fs_50_V_Layer 2,10,1,[10],10
2873_FranklinGothicURW-BooIta_fs_50_U_Layer 2,14,1,[14],14
2874_BaskervilleDisplayPT-Italic_fs_50_V_Layer 2,11,2,"[4, 7]",7
2875_FranklinGothicURW-BooIta_fs_50_W_Layer 2,16,1,[16],16
2876_BaskervilleDisplayPT-Italic_fs_50_X_Layer 2,13,2,"[9, 4]",9
2875_BaskervilleDisplayPT-Italic_fs_50_W_Layer 2,19,3,"[8, 4, 7]",8
2876_FranklinGothicURW-BooIta_fs_50_X_Layer 2,13,1,[13],13
2877_BaskervilleDisplayPT-Italic_fs_50_Y_Layer 2,11,2,"[7, 4]",7
2878_FranklinGothicURW-BooIta_fs_50_Z_Layer 2,12,1,[12],12
2878_BaskervilleDisplayPT-Italic_fs_50_Z_Layer 2,9,1,[9],9
2877_FranklinGothicURW-BooIta_fs_50_Y_Layer 2,12,1,[12],12
2879_BaskervilleDisplayPT-Italic_fs_50_a_Layer 2,15,2,"[8, 7]",8
2879_FranklinGothicURW-BooIta_fs_50_a_Layer 2,19,2,"[14, 5]",14
287_ACaslonPro-Semibold_fs_50_m_Layer 2,22,1,[22],22
287_AntiqueOli-RegIta_fs_50_m_Layer 2,23,1,[23],23
2880_BaskervilleDisplayPT-Italic_fs_50_b_Layer 2,15,1,[15],15
2880_FranklinGothicURW-BooIta_fs_50_b_Layer 2,18,2,"[10, 8]",10
2881_FranklinGothicURW-BooIta_fs_50_c_Layer 2,13,1,[13],13
2881_BaskervilleDisplayPT-Italic_fs_50_c_Layer 2,9,1,[9],9
2882_BaskervilleDisplayPT-Italic_fs_50_d_Layer 2,18,2,"[11, 7]",11
2883_BaskervilleDisplayPT-Italic_fs_50_e_Layer 2,10,1,[10],10
2883_FranklinGothicURW-BooIta_fs_50_e_Layer 2,14,2,"[10, 4]",10
2882_FranklinGothicURW-BooIta_fs_50_d_Layer 2,18,2,"[11, 7]",11
2884_BaskervilleDisplayPT-Italic_fs_50_f_Layer 2,19,1,[19],19
2884_FranklinGothicURW-BooIta_fs_50_f_Layer 2,13,1,[13],13
2886_BaskervilleDisplayPT-Italic_fs_50_h_Layer 2,18,2,"[10, 8]",10
2885_BaskervilleDisplayPT-Italic_fs_50_g_Layer 2,33,4,"[4, 6, 16, 7]",16
2885_FranklinGothicURW-BooIta_fs_50_g_Layer 2,30,3,"[16, 5, 9]",16
2886_FranklinGothicURW-BooIta_fs_50_h_Layer 2,15,1,[15],15
2887_BaskervilleDisplayPT-Italic_fs_50_i_Layer 2,12,2,"[5, 7]",7
2887_FranklinGothicURW-BooIta_fs_50_i_Layer 2,10,2,"[5, 5]",5
2888_FranklinGothicURW-BooIta_fs_50_j_Layer 2,13,2,"[6, 7]",7
2889_BaskervilleDisplayPT-Italic_fs_50_k_Layer 2,24,3,"[11, 6, 7]",11
2888_BaskervilleDisplayPT-Italic_fs_50_j_Layer 2,16,2,"[5, 11]",11
2889_FranklinGothicURW-BooIta_fs_50_k_Layer 2,12,1,[12],12
288_ACaslonPro-Semibold_fs_50_n_Layer 2,17,1,[17],17
2890_BaskervilleDisplayPT-Italic_fs_50_l_Layer 2,9,1,[9],9
288_AntiqueOli-RegIta_fs_50_n_Layer 2,16,1,[16],16
2890_FranklinGothicURW-BooIta_fs_50_l_Layer 2,6,1,[6],6
2891_FranklinGothicURW-BooIta_fs_50_m_Layer 2,25,1,[25],25
2891_BaskervilleDisplayPT-Italic_fs_50_m_Layer 2,21,3,"[8, 8, 5]",8
2892_FranklinGothicURW-BooIta_fs_50_n_Layer 2,15,1,[15],15
2892_BaskervilleDisplayPT-Italic_fs_50_n_Layer 2,13,2,"[7, 6]",7
2893_FranklinGothicURW-BooIta_fs_50_o_Layer 2,13,2,"[6, 7]",7
2893_BaskervilleDisplayPT-Italic_fs_50_o_Layer 2,12,2,"[5, 7]",7
2894_BaskervilleDisplayPT-Italic_fs_50_p_Layer 2,20,2,"[13, 7]",13
2895_BaskervilleDisplayPT-Italic_fs_50_q_Layer 2,17,1,[17],17
2894_FranklinGothicURW-BooIta_fs_50_p_Layer 2,18,2,"[11, 7]",11
2895_FranklinGothicURW-BooIta_fs_50_q_Layer 2,20,2,"[11, 9]",11
2896_BaskervilleDisplayPT-Italic_fs_50_r_Layer 2,6,1,[6],6
2896_FranklinGothicURW-BooIta_fs_50_r_Layer 2,9,1,[9],9
2897_FranklinGothicURW-BooIta_fs_50_s_Layer 2,18,1,[18],18
2897_BaskervilleDisplayPT-Italic_fs_50_s_Layer 2,12,1,[12],12
2898_BaskervilleDisplayPT-Italic_fs_50_t_Layer 2,14,1,[14],14
2898_FranklinGothicURW-BooIta_fs_50_t_Layer 2,15,1,[15],15
289_ACaslonPro-Semibold_fs_50_o_Layer 2,11,2,"[5, 6]",6
2899_FranklinGothicURW-BooIta_fs_50_u_Layer 2,17,1,[17],17
2899_BaskervilleDisplayPT-Italic_fs_50_u_Layer 2,13,2,"[6, 7]",7
289_AntiqueOli-RegIta_fs_50_o_Layer 2,14,2,"[7, 7]",7
28_ACaslonPro-Bold_fs_50_b_Layer 2,15,2,"[9, 6]",9
28_AntiqueOli-Bol_fs_50_b_Layer 2,14,2,"[9, 5]",9
2900_FranklinGothicURW-BooIta_fs_50_v_Layer 2,9,1,[9],9
2900_BaskervilleDisplayPT-Italic_fs_50_v_Layer 2,17,3,"[3, 7, 7]",7
2901_FranklinGothicURW-BooIta_fs_50_w_Layer 2,14,1,[14],14
2902_BaskervilleDisplayPT-Italic_fs_50_x_Layer 2,7,1,[7],7
2901_BaskervilleDisplayPT-Italic_fs_50_w_Layer 2,30,4,"[8, 3, 9, 10]",10
2902_FranklinGothicURW-BooIta_fs_50_x_Layer 2,9,1,[9],9
2903_BaskervilleDisplayPT-Italic_fs_50_y_Layer 2,12,3,"[3, 6, 3]",6
2903_FranklinGothicURW-BooIta_fs_50_y_Layer 2,15,1,[15],15
2904_FranklinGothicURW-BooIta_fs_50_z_Layer 2,11,1,[11],11
2904_BaskervilleDisplayPT-Italic_fs_50_z_Layer 2,16,2,"[8, 8]",8
2905_BaskervilleDisplayPT-Italic_fs_50_0_Layer 2,12,1,[12],12
2906_BaskervilleDisplayPT-Italic_fs_50_1_Layer 2,8,1,[8],8
2906_FranklinGothicURW-BooIta_fs_50_1_Layer 2,14,1,[14],14
2905_FranklinGothicURW-BooIta_fs_50_0_Layer 2,17,2,"[8, 9]",9
2907_BaskervilleDisplayPT-Italic_fs_50_2_Layer 2,17,2,"[10, 7]",10
2907_FranklinGothicURW-BooIta_fs_50_2_Layer 2,16,1,[16],16
2908_FranklinGothicURW-BooIta_fs_50_3_Layer 2,19,1,[19],19
2909_BaskervilleDisplayPT-Italic_fs_50_4_Layer 2,16,1,[16],16
2908_BaskervilleDisplayPT-Italic_fs_50_3_Layer 2,20,2,"[9, 11]",11
2909_FranklinGothicURW-BooIta_fs_50_4_Layer 2,17,2,"[12, 5]",12
290_ACaslonPro-Semibold_fs_50_p_Layer 2,20,2,"[12, 8]",12
290_AntiqueOli-RegIta_fs_50_p_Layer 2,18,2,"[11, 7]",11
2910_BaskervilleDisplayPT-Italic_fs_50_5_Layer 2,18,2,"[6, 12]",12
2910_FranklinGothicURW-BooIta_fs_50_5_Layer 2,17,1,[17],17
2911_BaskervilleDisplayPT-Italic_fs_50_6_Layer 2,13,1,[13],13
2911_FranklinGothicURW-BooIta_fs_50_6_Layer 2,15,2,"[10, 5]",10
2912_FranklinGothicURW-BooIta_fs_50_7_Layer 2,9,1,[9],9
2912_BaskervilleDisplayPT-Italic_fs_50_7_Layer 2,10,2,"[5, 5]",5
2913_BaskervilleDisplayPT-Italic_fs_50_8_Layer 2,21,1,[21],21
2914_BaskervilleDisplayPT-Italic_fs_50_9_Layer 2,13,1,[13],13
2914_FranklinGothicURW-BooIta_fs_50_9_Layer 2,15,2,"[10, 5]",10
2913_FranklinGothicURW-BooIta_fs_50_8_Layer 2,23,3,"[13, 5, 5]",13
2915_BaskervilleDisplayPT-Regular_fs_50_A_Layer 2,19,2,"[15, 4]",15
2915_FranklinGothicURW-Dem_fs_50_A_Layer 2,14,2,"[9, 5]",9
2917_BaskervilleDisplayPT-Regular_fs_50_C_Layer 2,13,1,[13],13
2916_FranklinGothicURW-Dem_fs_50_B_Layer 2,21,3,"[9, 6, 6]",9
2917_FranklinGothicURW-Dem_fs_50_C_Layer 2,15,1,[15],15
2916_BaskervilleDisplayPT-Regular_fs_50_B_Layer 2,21,3,"[11, 5, 5]",11
2918_BaskervilleDisplayPT-Regular_fs_50_D_Layer 2,14,2,"[8, 6]",8
2919_BaskervilleDisplayPT-Regular_fs_50_E_Layer 2,15,1,[15],15
2919_FranklinGothicURW-Dem_fs_50_E_Layer 2,13,1,[13],13
2918_FranklinGothicURW-Dem_fs_50_D_Layer 2,11,2,"[6, 5]",6
2920_BaskervilleDisplayPT-Regular_fs_50_F_Layer 2,11,1,[11],11
2920_FranklinGothicURW-Dem_fs_50_F_Layer 2,11,1,[11],11
291_ACaslonPro-Semibold_fs_50_q_Layer 2,18,2,"[12, 6]",12
291_AntiqueOli-RegIta_fs_50_q_Layer 2,17,2,"[10, 7]",10
2921_BaskervilleDisplayPT-Regular_fs_50_G_Layer 2,14,1,[14],14
2921_FranklinGothicURW-Dem_fs_50_G_Layer 2,17,1,[17],17
2922_BaskervilleDisplayPT-Regular_fs_50_H_Layer 2,14,1,[14],14
2922_FranklinGothicURW-Dem_fs_50_H_Layer 2,13,1,[13],13
2923_BaskervilleDisplayPT-Regular_fs_50_I_Layer 2,7,1,[7],7
2923_FranklinGothicURW-Dem_fs_50_I_Layer 2,5,1,[5],5
2924_BaskervilleDisplayPT-Regular_fs_50_J_Layer 2,14,1,[14],14
2924_FranklinGothicURW-Dem_fs_50_J_Layer 2,10,1,[10],10
2925_FranklinGothicURW-Dem_fs_50_K_Layer 2,13,1,[13],13
2926_BaskervilleDisplayPT-Regular_fs_50_L_Layer 2,9,1,[9],9
2925_BaskervilleDisplayPT-Regular_fs_50_K_Layer 2,20,3,"[4, 10, 6]",10
2926_FranklinGothicURW-Dem_fs_50_L_Layer 2,7,1,[7],7
2927_BaskervilleDisplayPT-Regular_fs_50_M_Layer 2,18,2,"[9, 9]",9
2927_FranklinGothicURW-Dem_fs_50_M_Layer 2,16,1,[16],16
2928_FranklinGothicURW-Dem_fs_50_N_Layer 2,13,1,[13],13
2928_BaskervilleDisplayPT-Regular_fs_50_N_Layer 2,15,1,[15],15
292_ACaslonPro-Semibold_fs_50_r_Layer 2,15,1,[15],15
2929_BaskervilleDisplayPT-Regular_fs_50_O_Layer 2,11,2,"[5, 6]",6
2929_FranklinGothicURW-Dem_fs_50_O_Layer 2,16,2,"[8, 8]",8
292_AntiqueOli-RegIta_fs_50_r_Layer 2,9,1,[9],9
2930_FranklinGothicURW-Dem_fs_50_P_Layer 2,14,2,"[8, 6]",8
2930_BaskervilleDisplayPT-Regular_fs_50_P_Layer 2,15,2,"[10, 5]",10
2931_BaskervilleDisplayPT-Regular_fs_50_Q_Layer 2,19,2,"[13, 6]",13
2931_FranklinGothicURW-Dem_fs_50_Q_Layer 2,17,2,"[9, 8]",9
2932_BaskervilleDisplayPT-Regular_fs_50_R_Layer 2,18,2,"[13, 5]",13
2933_FranklinGothicURW-Dem_fs_50_S_Layer 2,18,1,[18],18
2934_BaskervilleDisplayPT-Regular_fs_50_T_Layer 2,10,1,[10],10
2932_FranklinGothicURW-Dem_fs_50_R_Layer 2,18,2,"[12, 6]",12
2933_BaskervilleDisplayPT-Regular_fs_50_S_Layer 2,22,2,"[6, 16]",16
2934_FranklinGothicURW-Dem_fs_50_T_Layer 2,9,1,[9],9
2935_FranklinGothicURW-Dem_fs_50_U_Layer 2,13,1,[13],13
