,id,total_len,nb_groups,len_groups,max_len_group
5991,10786_Layer 5,16,1,[16],16
5992,10787_Layer 10,8,1,[8],8
5993,10786_Layer 6,22,1,[22],22
5994,10786_Layer 7,22,1,[22],22
5995,10787_Layer 12,10,1,[10],10
5996,10787_Layer 11,12,1,[12],12
5997,10787_Layer 13,14,1,[14],14
5998,10787_Layer 15,14,1,[14],14
5999,10787_Layer 14,14,1,[14],14
6000,10787_Layer 16,16,1,[16],16
6001,10787_Layer 2,8,1,[8],8
6002,10787_Layer 17,14,1,[14],14
6003,10787_Layer 19,16,1,[16],16
6004,10787_Layer 18,16,2,"[10, 6]",10
6005,10787_Layer 21,12,1,[12],12
6006,10787_Layer 20,14,1,[14],14
6007,10787_Layer 23,10,1,[10],10
6008,10787_Layer 25,10,1,[10],10
6009,10787_Layer 24,8,1,[8],8
6010,10787_Layer 22,18,2,"[12, 6]",12
6011,10787_Layer 3,6,1,[6],6
6012,10787_Layer 4,6,1,[6],6
6013,10787_Layer 27,16,1,[16],16
6014,10787_Layer 26,22,2,"[12, 10]",12
6015,10787_Layer 5,12,1,[12],12
6016,10787_Layer 6,14,1,[14],14
6017,10787_Layer 7,16,1,[16],16
6018,10788_Layer 2,10,1,[10],10
6019,10787_Layer 8,12,1,[12],12
6020,10788_Layer 3,10,1,[10],10
6021,10788_Layer 4,14,1,[14],14
6022,10787_Layer 9,26,1,[26],26
6023,10788_Layer 5,18,1,[18],18
6024,1078_Layer 10,26,1,[26],26
6025,1078_Layer 13,8,1,[8],8
6026,1078_Layer 12,20,1,[20],20
6027,1078_Layer 11,22,1,[22],22
6028,1078_Layer 15,8,1,[8],8
6029,1078_Layer 14,20,1,[20],20
6030,1078_Layer 16,14,1,[14],14
6031,1078_Layer 17,14,1,[14],14
6032,1078_Layer 18,18,1,[18],18
6033,1078_Layer 19,18,1,[18],18
6034,1078_Layer 2,14,1,[14],14
6035,1078_Layer 20,16,1,[16],16
6036,1078_Layer 3,10,1,[10],10
6037,1078_Layer 21,22,1,[22],22
6038,1078_Layer 5,10,1,[10],10
6039,1078_Layer 4,8,1,[8],8
6040,1078_Layer 6,16,1,[16],16
6041,1078_Layer 7,22,1,[22],22
6042,10790_Layer 2,8,1,[8],8
6043,1078_Layer 8,24,1,[24],24
6044,1078_Layer 9,12,1,[12],12
6045,10790_Layer 3,14,1,[14],14
6046,10790_Layer 4,12,1,[12],12
6047,10790_Layer 6,8,1,[8],8
6048,10790_Layer 5,12,1,[12],12
6049,10790_Layer 7,16,2,"[10, 6]",10
6050,10790_Layer 8,20,1,[20],20
6051,10791_Layer 11,18,1,[18],18
6052,10791_Layer 10,20,1,[20],20
6053,10791_Layer 12,14,1,[14],14
6054,10791_Layer 15,16,1,[16],16
6055,10791_Layer 13,18,1,[18],18
6056,10791_Layer 2,8,1,[8],8
6057,10791_Layer 16,16,1,[16],16
6058,10791_Layer 3,6,1,[6],6
6059,10791_Layer 14,22,1,[22],22
6060,10791_Layer 5,6,1,[6],6
6061,10791_Layer 4,12,1,[12],12
6062,10791_Layer 6,12,1,[12],12
6063,10791_Layer 9,10,1,[10],10
6064,10791_Layer 7,16,1,[16],16
6065,10791_Layer 8,14,1,[14],14
6066,10792_Layer 10,10,1,[10],10
6067,10792_Layer 13,10,1,[10],10
6068,10792_Layer 11,10,1,[10],10
6069,10792_Layer 12,12,1,[12],12
6070,10792_Layer 14,12,1,[12],12
6071,10792_Layer 17,16,1,[16],16
6072,10792_Layer 16,16,1,[16],16
6073,10792_Layer 15,18,1,[18],18
6074,10792_Layer 18,18,1,[18],18
6075,10792_Layer 2,6,1,[6],6
6076,10792_Layer 19,10,1,[10],10
6077,10792_Layer 22,12,1,[12],12
6078,10792_Layer 20,18,1,[18],18
6079,10792_Layer 21,20,1,[20],20
6080,10792_Layer 4,10,1,[10],10
6081,10792_Layer 3,14,1,[14],14
6082,10792_Layer 5,10,1,[10],10
6083,10792_Layer 23,18,1,[18],18
6084,10792_Layer 6,10,1,[10],10
6085,10792_Layer 7,8,1,[8],8
6086,10792_Layer 8,8,1,[8],8
6087,10793_Layer 2,10,1,[10],10
6088,10792_Layer 9,8,1,[8],8
6089,10793_Layer 3,10,1,[10],10
6090,10793_Layer 5,10,1,[10],10
6091,10793_Layer 4,14,1,[14],14
6092,10793_Layer 6,12,1,[12],12
6093,10794_Layer 2,8,1,[8],8
6094,10794_Layer 3,10,1,[10],10
6095,10794_Layer 5,6,1,[6],6
6096,10795_Layer 2,8,1,[8],8
6097,10794_Layer 4,14,1,[14],14
6098,10794_Layer 6,10,1,[10],10
6099,10796_Layer 10,8,1,[8],8
6100,10795_Layer 3,16,1,[16],16
6101,10795_Layer 4,10,2,"[6, 4]",6
6102,10796_Layer 11,10,1,[10],10
6103,10796_Layer 12,10,1,[10],10
6104,10796_Layer 13,12,1,[12],12
6105,10796_Layer 16,10,1,[10],10
6106,10796_Layer 14,16,1,[16],16
6107,10796_Layer 15,14,1,[14],14
6108,10796_Layer 17,10,1,[10],10
6109,10796_Layer 2,10,1,[10],10
6110,10796_Layer 3,6,1,[6],6
6111,10796_Layer 4,8,1,[8],8
6112,10796_Layer 18,12,1,[12],12
6113,10796_Layer 5,8,1,[8],8
6114,10796_Layer 6,10,1,[10],10
6115,10796_Layer 7,6,1,[6],6
6116,10797_Layer 2,8,1,[8],8
6117,10796_Layer 8,14,1,[14],14
6118,10796_Layer 9,18,1,[18],18
6119,10797_Layer 4,12,1,[12],12
6120,10797_Layer 3,12,1,[12],12
6121,10797_Layer 5,10,1,[10],10
6122,10797_Layer 6,14,1,[14],14
6123,10797_Layer 8,10,1,[10],10
6124,10797_Layer 9,14,1,[14],14
6125,10798_Layer 2,10,1,[10],10
6126,10797_Layer 7,18,1,[18],18
6127,10798_Layer 3,10,1,[10],10
6128,10798_Layer 5,6,1,[6],6
6129,10798_Layer 4,10,1,[10],10
6130,10798_Layer 8,12,1,[12],12
6131,10799_Layer 2,10,1,[10],10
6132,10798_Layer 7,10,1,[10],10
6133,10798_Layer 6,20,1,[20],20
6134,10799_Layer 3,12,1,[12],12
6135,10799_Layer 4,12,1,[12],12
6136,10799_Layer 5,16,1,[16],16
6137,10799_Layer 6,8,1,[8],8
6138,10799_Layer 8,8,1,[8],8
6139,1079_Layer 2,8,1,[8],8
6140,10799_Layer 7,16,1,[16],16
6141,1079_Layer 3,10,1,[10],10
6142,1079_Layer 7,8,1,[8],8
6143,1079_Layer 8,10,1,[10],10
6144,1079_Layer 5,22,1,[22],22
6146,1079_Layer 4,16,2,"[10, 6]",10
6147,107_Layer 10,6,1,[6],6
6148,107_Layer 11,14,1,[14],14
6149,107_Layer 12,10,1,[10],10
6150,107_Layer 2,12,1,[12],12
6151,107_Layer 3,8,1,[8],8
6152,107_Layer 4,10,1,[10],10
6153,107_Layer 5,12,1,[12],12
6154,107_Layer 6,16,1,[16],16
6155,107_Layer 7,14,1,[14],14
6156,107_Layer 8,16,2,"[8, 8]",8
6157,107_Layer 9,16,2,"[12, 4]",12
6158,10800_Layer 2,8,1,[8],8
6159,1079_Layer 9,22,1,[22],22
6160,10800_Layer 3,8,1,[8],8
6162,10800_Layer 4,8,1,[8],8
6163,10800_Layer 5,12,1,[12],12
6164,10800_Layer 6,16,1,[16],16
6165,10800_Layer 7,10,1,[10],10
6166,10800_Layer 8,18,2,"[12, 6]",12
6167,10801_Layer 11,14,1,[14],14
6168,10800_Layer 9,20,1,[20],20
6169,10801_Layer 10,14,1,[14],14
6170,10801_Layer 2,10,1,[10],10
6171,10801_Layer 3,10,1,[10],10
6172,10801_Layer 5,10,1,[10],10
6173,10801_Layer 4,14,1,[14],14
6174,10801_Layer 6,16,1,[16],16
6175,10801_Layer 7,18,1,[18],18
6176,10801_Layer 9,10,1,[10],10
6177,10801_Layer 8,16,1,[16],16
6178,10802_Layer 12,8,1,[8],8
6179,10802_Layer 11,10,1,[10],10
6180,10802_Layer 10,6,1,[6],6
6181,10802_Layer 13,8,1,[8],8
6182,10802_Layer 14,14,1,[14],14
6183,10802_Layer 16,10,1,[10],10
6184,10802_Layer 15,14,1,[14],14
6185,10802_Layer 17,14,1,[14],14
6186,10802_Layer 2,10,1,[10],10
6187,10802_Layer 18,12,1,[12],12
6188,10802_Layer 19,12,2,"[6, 6]",6
6189,10802_Layer 22,10,1,[10],10
6190,10802_Layer 20,16,1,[16],16
6191,10802_Layer 23,18,1,[18],18
6192,10802_Layer 21,26,2,"[18, 8]",18
6193,10802_Layer 25,16,1,[16],16
6194,10802_Layer 3,8,1,[8],8
6195,10802_Layer 4,10,1,[10],10
6196,10802_Layer 24,18,2,"[10, 8]",10
6197,10802_Layer 6,6,1,[6],6
6198,10802_Layer 5,8,1,[8],8
6199,10802_Layer 7,8,1,[8],8
6200,10802_Layer 9,6,1,[6],6
6201,10802_Layer 8,12,1,[12],12
6202,10803_Layer 11,10,1,[10],10
6203,10803_Layer 10,14,1,[14],14
6204,10803_Layer 3,6,1,[6],6
6205,10803_Layer 2,6,1,[6],6
6206,10803_Layer 12,16,1,[16],16
6207,10803_Layer 4,6,1,[6],6
6208,10803_Layer 13,16,1,[16],16
6209,10803_Layer 6,8,1,[8],8
6210,10803_Layer 5,12,1,[12],12
6211,10803_Layer 7,8,1,[8],8
6212,10803_Layer 8,12,1,[12],12
6213,10803_Layer 9,12,1,[12],12
6214,10804_Layer 10,10,1,[10],10
6215,10804_Layer 2,6,1,[6],6
6216,10804_Layer 11,12,1,[12],12
6217,10804_Layer 12,14,1,[14],14
6218,10804_Layer 13,16,1,[16],16
6219,10804_Layer 3,8,1,[8],8
6220,10804_Layer 4,10,1,[10],10
6221,10804_Layer 5,8,1,[8],8
6222,10804_Layer 9,6,1,[6],6
6223,10804_Layer 7,10,1,[10],10
6224,10804_Layer 6,12,1,[12],12
6225,10804_Layer 8,18,1,[18],18
6226,10806_Layer 3,14,1,[14],14
6227,10807_Layer 2,8,1,[8],8
6228,10806_Layer 2,18,2,"[10, 8]",10
6229,10807_Layer 3,14,1,[14],14
6230,10806_Layer 4,18,2,"[12, 6]",12
6231,10807_Layer 4,16,1,[16],16
6232,10807_Layer 5,10,2,"[4, 6]",6
6233,10807_Layer 6,14,1,[14],14
6234,10807_Layer 8,10,1,[10],10
6235,10808_Layer 10,14,1,[14],14
6236,10808_Layer 2,10,1,[10],10
6237,10807_Layer 7,18,2,"[10, 8]",10
6238,10808_Layer 4,10,1,[10],10
6239,10808_Layer 3,14,1,[14],14
6240,10808_Layer 5,14,1,[14],14
6241,10808_Layer 8,10,1,[10],10
6242,10808_Layer 7,14,1,[14],14
6243,10808_Layer 6,14,1,[14],14
6244,10808_Layer 9,6,1,[6],6
6245,10809_Layer 10,10,1,[10],10
6246,10809_Layer 11,16,1,[16],16
6247,10809_Layer 12,16,1,[16],16
6248,10809_Layer 13,16,1,[16],16
6249,10809_Layer 14,16,1,[16],16
6250,10809_Layer 15,18,1,[18],18
6251,10809_Layer 3,10,1,[10],10
6252,10809_Layer 2,12,1,[12],12
6253,10809_Layer 4,10,1,[10],10
6254,10809_Layer 5,8,1,[8],8
6255,10809_Layer 6,14,1,[14],14
6256,10809_Layer 7,12,1,[12],12
6257,10809_Layer 8,12,1,[12],12
6258,10809_Layer 9,18,1,[18],18
6259,1080_Layer 3,23,1,[23],23
6260,1080_Layer 2,12,1,[12],12
6261,1080_Layer 4,21,1,[21],21
6263,1080_Layer 8,9,1,[9],9
6265,1080_Layer 5,20,1,[20],20
6266,10811_Layer 11,8,1,[8],8
6267,10811_Layer 10,26,1,[26],26
6268,10811_Layer 2,8,1,[8],8
6269,10811_Layer 3,10,1,[10],10
6270,10811_Layer 12,16,1,[16],16
6271,10811_Layer 4,10,1,[10],10
6272,1080_Layer 7,21,1,[21],21
6273,10811_Layer 5,24,2,"[14, 10]",14
6274,10811_Layer 6,20,1,[20],20
6275,10811_Layer 7,12,1,[12],12
6276,10811_Layer 8,14,1,[14],14
6277,10811_Layer 9,10,1,[10],10
6278,10812_Layer 10,8,1,[8],8
6279,10812_Layer 11,8,1,[8],8
6280,10812_Layer 13,8,1,[8],8
6281,10812_Layer 14,8,1,[8],8
6282,10812_Layer 12,16,1,[16],16
6283,10812_Layer 15,12,1,[12],12
6284,10812_Layer 16,20,1,[20],20
6285,10812_Layer 3,6,1,[6],6
6286,10812_Layer 4,6,1,[6],6
6287,10812_Layer 2,12,1,[12],12
6288,1080_Layer 9,23,1,[23],23
6289,10812_Layer 5,6,1,[6],6
6290,10812_Layer 7,8,1,[8],8
6291,10812_Layer 6,8,1,[8],8
6292,10812_Layer 9,6,1,[6],6
6293,10812_Layer 8,10,1,[10],10
6294,10813_Layer 2,8,1,[8],8
6295,10813_Layer 3,10,1,[10],10
6296,10813_Layer 6,12,1,[12],12
6297,10813_Layer 4,6,1,[6],6
6298,10813_Layer 5,6,1,[6],6
6299,10813_Layer 7,14,1,[14],14
6300,10813_Layer 8,12,1,[12],12
6301,10814_Layer 10,10,1,[10],10
6302,10814_Layer 11,8,1,[8],8
6303,10813_Layer 9,16,1,[16],16
6304,10814_Layer 2,8,1,[8],8
6305,10814_Layer 4,8,1,[8],8
6306,10814_Layer 3,10,1,[10],10
6307,10814_Layer 5,10,1,[10],10
6308,10814_Layer 6,14,1,[14],14
6309,10814_Layer 7,18,1,[18],18
6310,10814_Layer 9,12,1,[12],12
6311,10815_Layer 10,12,1,[12],12
6312,10814_Layer 8,14,1,[14],14
6313,10815_Layer 11,14,1,[14],14
6314,10815_Layer 12,16,2,"[10, 6]",10
6315,10815_Layer 13,14,1,[14],14
6316,10815_Layer 2,10,1,[10],10
6317,10815_Layer 14,18,2,"[8, 10]",10
6318,10815_Layer 3,10,1,[10],10
6319,10815_Layer 15,18,1,[18],18
6320,10815_Layer 4,8,1,[8],8
6321,10815_Layer 5,8,1,[8],8
6322,10815_Layer 6,6,1,[6],6
6323,10815_Layer 7,12,1,[12],12
6324,10816_Layer 2,6,1,[6],6
6325,10815_Layer 8,12,1,[12],12
6326,10816_Layer 3,6,1,[6],6
6327,10815_Layer 9,16,1,[16],16
6328,10816_Layer 5,12,1,[12],12
6329,10816_Layer 4,14,1,[14],14
6330,10816_Layer 6,16,1,[16],16
6331,10817_Layer 2,6,1,[6],6
6332,10816_Layer 7,8,1,[8],8
6333,10816_Layer 9,12,1,[12],12
6334,10816_Layer 8,20,1,[20],20
6335,10817_Layer 3,10,1,[10],10
6336,10817_Layer 4,14,1,[14],14
6337,10818_Layer 12,10,1,[10],10
6338,10818_Layer 10,10,1,[10],10
6339,10818_Layer 11,14,1,[14],14
6340,10817_Layer 5,20,2,"[14, 6]",14
6341,10818_Layer 2,6,1,[6],6
6342,10818_Layer 13,14,1,[14],14
6343,10818_Layer 3,4,1,[4],4
6344,10818_Layer 16,12,1,[12],12
6345,10818_Layer 15,16,2,"[10, 6]",10
6346,10818_Layer 4,10,1,[10],10
6347,10818_Layer 5,8,1,[8],8
6348,10818_Layer 9,12,1,[12],12
6349,10818_Layer 7,16,1,[16],16
6350,10818_Layer 6,20,1,[20],20
6351,10818_Layer 8,22,1,[22],22
6352,10819_Layer 2,10,1,[10],10
6353,10819_Layer 3,18,1,[18],18
6354,10819_Layer 5,14,1,[14],14
6355,10820_Layer 10,10,1,[10],10
6356,10820_Layer 11,10,1,[10],10
6357,10819_Layer 6,18,2,"[12, 6]",12
6358,10820_Layer 12,14,1,[14],14
6359,10820_Layer 3,10,1,[10],10
6360,10820_Layer 2,10,1,[10],10
6361,10820_Layer 13,14,1,[14],14
6362,10820_Layer 4,8,1,[8],8
6363,10820_Layer 5,8,1,[8],8
6364,10820_Layer 7,8,1,[8],8
6365,10820_Layer 6,14,1,[14],14
6366,10820_Layer 8,10,1,[10],10
6367,10820_Layer 9,10,1,[10],10
6368,10821_Layer 11,10,1,[10],10
6369,10821_Layer 12,8,1,[8],8
6370,10821_Layer 10,14,1,[14],14
6371,10821_Layer 14,10,1,[10],10
6372,10821_Layer 15,14,1,[14],14
6373,10821_Layer 13,22,1,[22],22
6374,10821_Layer 16,16,1,[16],16
6375,10821_Layer 17,18,1,[18],18
6376,10821_Layer 2,10,1,[10],10
6377,10821_Layer 19,14,2,"[8, 6]",8
6378,10821_Layer 18,20,2,"[10, 10]",10
6379,10821_Layer 3,10,1,[10],10
6380,10821_Layer 4,10,1,[10],10
6381,10821_Layer 5,8,1,[8],8
6382,10821_Layer 20,20,2,"[10, 10]",10
6383,10821_Layer 6,10,1,[10],10
6384,10821_Layer 9,10,1,[10],10
6385,10821_Layer 7,12,1,[12],12
6386,10822_Layer 2,6,1,[6],6
6387,10821_Layer 8,10,1,[10],10
6388,10822_Layer 3,6,1,[6],6
6389,10823_Layer 10,12,1,[12],12
6390,10823_Layer 11,8,1,[8],8
6391,10822_Layer 4,20,1,[20],20
6392,10822_Layer 5,18,1,[18],18
6393,10823_Layer 2,10,1,[10],10
6394,10823_Layer 3,6,1,[6],6
6395,10823_Layer 4,8,1,[8],8
6396,10823_Layer 5,8,1,[8],8
6397,10823_Layer 6,10,1,[10],10
6398,10823_Layer 12,20,1,[20],20
6399,10823_Layer 7,10,1,[10],10
6400,10823_Layer 8,10,1,[10],10
6401,10823_Layer 9,14,1,[14],14
6402,10824_Layer 2,8,1,[8],8
6403,10824_Layer 3,10,1,[10],10
6404,10824_Layer 4,12,1,[12],12
6405,10824_Layer 5,10,1,[10],10
6406,10824_Layer 10,22,1,[22],22
6407,10824_Layer 6,8,1,[8],8
6408,10824_Layer 8,12,1,[12],12
6409,10825_Layer 2,8,1,[8],8
6410,10824_Layer 9,10,1,[10],10
6411,10824_Layer 7,22,1,[22],22
6412,10825_Layer 3,10,1,[10],10
6413,10825_Layer 4,14,1,[14],14
6414,10825_Layer 5,20,1,[20],20
6415,10825_Layer 6,16,1,[16],16
6416,10825_Layer 7,16,1,[16],16
6417,10825_Layer 8,14,1,[14],14
6418,10826_Layer 10,10,2,"[4, 6]",6
6419,10826_Layer 14,12,1,[12],12
6420,10826_Layer 12,14,1,[14],14
6421,10826_Layer 13,14,1,[14],14
6422,10826_Layer 11,16,2,"[6, 10]",10
6423,10826_Layer 16,8,1,[8],8
6424,10826_Layer 17,12,1,[12],12
6425,10826_Layer 15,20,2,"[10, 10]",10
6426,10826_Layer 2,6,1,[6],6
6427,10826_Layer 18,20,2,"[14, 6]",14
6428,10826_Layer 3,8,1,[8],8
6429,10826_Layer 4,8,1,[8],8
6430,10826_Layer 6,8,1,[8],8
6431,10826_Layer 5,8,1,[8],8
6432,10826_Layer 8,8,1,[8],8
6433,10826_Layer 7,10,1,[10],10
6434,10827_Layer 2,14,1,[14],14
6435,10827_Layer 3,10,1,[10],10
6436,10826_Layer 9,16,1,[16],16
6437,10827_Layer 5,14,1,[14],14
6438,10827_Layer 4,12,1,[12],12
6439,10828_Layer 11,10,1,[10],10
6440,10827_Layer 6,14,1,[14],14
6441,10828_Layer 12,8,1,[8],8
6442,10828_Layer 13,8,1,[8],8
6443,10828_Layer 2,10,1,[10],10
6445,10828_Layer 3,10,1,[10],10
6446,10828_Layer 4,12,1,[12],12
6447,10828_Layer 6,12,1,[12],12
6448,10828_Layer 5,14,2,"[8, 6]",8
6450,10828_Layer 7,16,1,[16],16
6451,10829_Layer 3,10,1,[10],10
6452,10828_Layer 8,20,2,"[14, 6]",14
6453,10829_Layer 2,8,1,[8],8
6454,10830_Layer 2,8,1,[8],8
6455,10828_Layer 9,26,2,"[16, 10]",16
6456,10829_Layer 4,12,1,[12],12
6457,10829_Layer 5,22,2,"[14, 8]",14
6458,10830_Layer 3,8,1,[8],8
6459,10830_Layer 4,6,1,[6],6
6460,10830_Layer 5,14,1,[14],14
6461,10830_Layer 6,12,1,[12],12
6462,10830_Layer 7,10,1,[10],10
6463,10830_Layer 8,18,1,[18],18
6464,10831_Layer 10,12,1,[12],12
6465,10831_Layer 11,12,1,[12],12
6466,10831_Layer 12,16,1,[16],16
6467,10831_Layer 14,8,1,[8],8
6468,10831_Layer 13,16,2,"[6, 10]",10
6469,10831_Layer 15,8,1,[8],8
6470,10831_Layer 16,10,1,[10],10
6471,10831_Layer 2,10,1,[10],10
6472,10831_Layer 3,8,1,[8],8
6473,10831_Layer 4,12,1,[12],12
6474,10831_Layer 6,6,1,[6],6
6475,10831_Layer 5,10,1,[10],10
6476,10832_Layer 2,8,1,[8],8
6477,10831_Layer 7,12,2,"[6, 6]",6
6478,10831_Layer 8,14,1,[14],14
6479,10832_Layer 3,8,1,[8],8
6480,10831_Layer 9,14,1,[14],14
6481,10832_Layer 4,8,1,[8],8
6482,10832_Layer 5,14,2,"[8, 6]",8
6483,10833_Layer 2,16,1,[16],16
6484,10833_Layer 3,20,1,[20],20
6485,10834_Layer 4,8,1,[8],8
6486,10833_Layer 4,12,2,"[8, 4]",8
6487,10834_Layer 2,20,1,[20],20
6488,10834_Layer 3,10,1,[10],10
6489,10834_Layer 5,8,1,[8],8
6490,10835_Layer 2,16,1,[16],16
6491,10835_Layer 5,12,1,[12],12
6492,10835_Layer 4,8,1,[8],8
6493,10835_Layer 3,14,1,[14],14
6494,10835_Layer 6,14,1,[14],14
6495,10836_Layer 2,12,1,[12],12
6496,10836_Layer 3,18,1,[18],18
6497,10836_Layer 5,10,1,[10],10
6498,10836_Layer 4,14,1,[14],14
6499,10836_Layer 6,8,1,[8],8
6500,10837_Layer 2,12,1,[12],12
6501,10837_Layer 3,6,1,[6],6
6502,10836_Layer 7,16,1,[16],16
6503,10837_Layer 4,12,1,[12],12
6504,10837_Layer 5,8,1,[8],8
6505,10837_Layer 7,8,1,[8],8
6506,10837_Layer 6,18,1,[18],18
6507,10837_Layer 8,10,1,[10],10
6508,10837_Layer 9,14,1,[14],14
6509,10838_Layer 10,14,1,[14],14
6510,10838_Layer 11,8,1,[8],8
6511,10838_Layer 12,12,1,[12],12
6512,10838_Layer 3,6,1,[6],6
6513,10838_Layer 13,10,1,[10],10
6514,10838_Layer 2,6,1,[6],6
6515,10838_Layer 4,6,1,[6],6
6516,10838_Layer 5,12,1,[12],12
6517,10838_Layer 7,12,1,[12],12
6518,10838_Layer 6,12,1,[12],12
6519,10839_Layer 10,6,1,[6],6
6520,10838_Layer 9,14,1,[14],14
6521,10839_Layer 2,6,1,[6],6
6522,10838_Layer 8,14,1,[14],14
6523,10839_Layer 3,8,1,[8],8
6524,10839_Layer 4,10,1,[10],10
6525,10839_Layer 5,6,1,[6],6
6526,10839_Layer 6,10,1,[10],10
6527,10839_Layer 7,10,1,[10],10
6528,10840_Layer 2,8,1,[8],8
6529,10840_Layer 3,10,1,[10],10
6530,10839_Layer 8,18,1,[18],18
6531,10840_Layer 4,10,1,[10],10
6532,10839_Layer 9,20,1,[20],20
6533,10840_Layer 5,18,1,[18],18
6534,10841_Layer 2,14,1,[14],14
6535,10840_Layer 6,20,1,[20],20
6536,10841_Layer 3,14,2,"[6, 8]",8
6538,10841_Layer 4,14,1,[14],14
6539,10841_Layer 5,16,1,[16],16
6540,10842_Layer 11,12,1,[12],12
6541,10842_Layer 12,12,1,[12],12
6542,10842_Layer 10,16,1,[16],16
6543,10842_Layer 16,8,1,[8],8
6544,10842_Layer 13,16,1,[16],16
6545,10842_Layer 14,10,1,[10],10
6546,10842_Layer 2,10,1,[10],10
6547,10842_Layer 15,18,1,[18],18
6548,10842_Layer 3,10,1,[10],10
6549,10842_Layer 5,12,1,[12],12
6550,10842_Layer 4,14,1,[14],14
6551,10842_Layer 6,10,1,[10],10
6552,10842_Layer 7,12,1,[12],12
6553,10842_Layer 9,10,1,[10],10
6554,10842_Layer 8,12,1,[12],12
6555,10843_Layer 3,6,1,[6],6
6556,10843_Layer 2,8,1,[8],8
6557,10843_Layer 5,8,1,[8],8
6558,10843_Layer 4,14,1,[14],14
6559,10843_Layer 6,14,1,[14],14
6560,10843_Layer 7,10,1,[10],10
6561,10843_Layer 8,10,1,[10],10
6562,10844_Layer 12,10,1,[10],10
6563,10844_Layer 10,22,1,[22],22
6564,10844_Layer 11,12,2,"[8, 4]",8
6565,10843_Layer 9,24,1,[24],24
6566,10844_Layer 13,16,1,[16],16
6567,10844_Layer 2,8,1,[8],8
6568,10844_Layer 3,12,1,[12],12
6569,10844_Layer 15,22,1,[22],22
6570,10844_Layer 14,24,1,[24],24
6571,10844_Layer 7,10,1,[10],10
6572,10844_Layer 4,14,1,[14],14
6573,10844_Layer 6,14,1,[14],14
6574,10844_Layer 5,20,1,[20],20
6575,10845_Layer 2,10,1,[10],10
6576,10844_Layer 9,12,1,[12],12
6577,10844_Layer 8,12,1,[12],12
6578,10845_Layer 10,20,2,"[12, 8]",12
6579,10845_Layer 4,10,1,[10],10
6580,10845_Layer 3,8,1,[8],8
6581,10845_Layer 5,20,1,[20],20
6582,10845_Layer 6,16,1,[16],16
6583,10845_Layer 7,14,1,[14],14
6584,10845_Layer 8,16,1,[16],16
6585,10846_Layer 3,6,1,[6],6
6586,10845_Layer 9,16,2,"[10, 6]",10
6587,10846_Layer 2,16,1,[16],16
6588,10847_Layer 2,8,1,[8],8
6589,10846_Layer 4,14,1,[14],14
6590,10847_Layer 3,6,1,[6],6
6591,10846_Layer 5,14,2,"[8, 6]",8
6592,10848_Layer 2,6,1,[6],6
6593,10848_Layer 3,10,1,[10],10
6594,10847_Layer 4,12,1,[12],12
6595,10847_Layer 5,16,1,[16],16
6596,10848_Layer 4,8,1,[8],8
6597,10848_Layer 7,10,1,[10],10
6598,10848_Layer 6,8,1,[8],8
6599,10848_Layer 5,14,1,[14],14
6600,10849_Layer 2,6,1,[6],6
6601,10849_Layer 3,6,1,[6],6
6602,10849_Layer 4,6,1,[6],6
6603,10848_Layer 8,14,1,[14],14
6604,10849_Layer 8,10,1,[10],10
6605,10849_Layer 7,10,1,[10],10
6606,10849_Layer 5,14,1,[14],14
6607,10849_Layer 6,10,1,[10],10
6608,10850_Layer 2,10,1,[10],10
6609,10850_Layer 3,10,1,[10],10
6610,10850_Layer 4,14,1,[14],14
6611,10849_Layer 9,14,1,[14],14
6612,10850_Layer 5,14,1,[14],14
6613,10850_Layer 6,14,1,[14],14
6614,10851_Layer 2,8,1,[8],8
6615,10850_Layer 7,12,1,[12],12
6616,10851_Layer 3,10,1,[10],10
6617,10850_Layer 8,20,2,"[10, 10]",10
6618,10851_Layer 4,8,1,[8],8
6619,10851_Layer 5,8,1,[8],8
6620,10851_Layer 6,14,1,[14],14
6621,10851_Layer 8,8,1,[8],8
6622,10851_Layer 7,16,1,[16],16
6623,10851_Layer 9,26,1,[26],26
6624,10852_Layer 2,14,1,[14],14
6625,10852_Layer 4,12,1,[12],12
6626,10852_Layer 3,18,1,[18],18
6627,10852_Layer 6,10,1,[10],10
6628,10852_Layer 5,12,1,[12],12
6629,10852_Layer 8,12,1,[12],12
6630,10852_Layer 7,10,1,[10],10
6631,10853_Layer 10,10,1,[10],10
6632,10852_Layer 9,16,1,[16],16
6633,10853_Layer 11,12,1,[12],12
6634,10853_Layer 12,16,1,[16],16
6635,10853_Layer 16,10,1,[10],10
6636,10853_Layer 13,12,1,[12],12
6637,10853_Layer 14,16,1,[16],16
6638,10853_Layer 15,16,1,[16],16
6639,10853_Layer 17,10,1,[10],10
6640,10853_Layer 2,10,1,[10],10
6641,10853_Layer 4,6,1,[6],6
6642,10853_Layer 3,12,1,[12],12
6643,10853_Layer 5,14,1,[14],14
6644,10853_Layer 7,12,1,[12],12
6645,10853_Layer 6,10,1,[10],10
6646,10853_Layer 18,24,2,"[18, 6]",18
6647,10854_Layer 2,8,1,[8],8
6648,10853_Layer 8,16,1,[16],16
6649,10854_Layer 3,10,1,[10],10
6650,10853_Layer 9,16,1,[16],16
6651,10854_Layer 4,12,1,[12],12
6652,10854_Layer 5,12,1,[12],12
